objectid,filename,format,title,source-creator,source-creator-origin,source-audience,source_genre,source_subjects,source_lang,publication_date,edition_date,source_related,book_format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
cover1,cover1.jpg,image/jpeg,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters; Scientists,eng,1818--01--01,2014--30--09,Penguin Clothbound Classics,Hardcover (clothbound),5-1/16 x 7-3/4,ISBN 9780141393391,Coralie Bickford-Smith,England,,,Graphic,Print on Cloth,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",heart,Penguin Classics,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
cover2,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781439142677/fahrenheit-451-9781439142677_hr.jpg,image/jpeg,Fahrenheit 451,"Bradbury, Ray","Waukegan, Illinois","General, Adult",Classic Fiction; Science Fiction,Dystopia; Books;Fire,eng,1953--19--10,2012--12--01,,Hardcover,5.5 x 8.44,9781439142677,,,Matthew Owen,,Graphic,,"A red background with a black, red, and white graphic of a box of matches and a black book fused together so that it a tray of matches is coming out of the top of a book laid on it's back cover. ",book;matches,Simon & Schuster,New York,Ray Bradbury ,https://www.simonandschuster.com/books/Fahrenheit-451/Ray-Bradbury/9781439142677
cover3,cover3.jpg,image/jpeg,The Weary Blues,"Hughes, Langston",,,,,,,,,,,,,,,,,,,,,,,
cover4,cover4.jpg,image/jpeg,Things Fall Apart,"Achebe, Chinua ","Ogidi, Nigeria","General, Adult",Classic Fiction; Historical Fiction,"Nigeria, Race, Igbo",eng,1994--09--01,,,paperback,5-3/16 x 8,9780385474542,Victor Ekpuk,,,,Graphic,drawing; illustration,,,,,,
cover5,cover5.jpg,image/jpeg,The Merry Adventures of Robin Hood,,,,,,,,,,,,,,,,,,,,,,,,
cover6,,image/jpeg,Murder on the Orient Express,,,,,,,,,,,,,,,,,,,,,,,,
cover7,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover8,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover9,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover10,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover11,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover12,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover13,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover14,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover15,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover16,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover17,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover18,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover19,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover20,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover21,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover22,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover23,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover24,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover25,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover26,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover27,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover28,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover29,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover30,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover31,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover32,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover33,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover34,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover35,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover36,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover37,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover38,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover39,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover40,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover41,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover42,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover43,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover44,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover45,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover46,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover47,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover48,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover49,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
cover50,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,