objectid,filename,type,title,source-creator,source-creator-origin,source-udience,source_genre,source_subjects,source_lang,publication_date,edition_date,source_related,format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
cover1,cover1.jpeg,Image;StillImage,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters;Scientists,eng,"January 1, 1818",2014-09-30,Penguin Clothbound Classics,Hardcover (clothbound),5-1/16 x 7-3/4,ISBN 9780141393391,Coralie Bickford-Smith,England,,,Graphic,Print on Cloth,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",heart,Penguin Classics,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
cover2,cover2.jpeg,Image;StillImage,Fahrenheit 451,"Bradbury, Ray","Waukegan, Illinois","General, Adult",Classic Fiction; Science Fiction,Dystopia;Books;Fire,eng,1953-10-19,2012-01-12,,Hardcover,5.5 x 8.44,9781439142677,,,Matthew Owen,,Graphic,,"A red background with a black, red, and white graphic of a box of matches and a black book fused together so that it a tray of matches is coming out of the top of a book laid on it's back cover. ",book;matches,Simon & Schuster,New York,Ray Bradbury ,https://www.simonandschuster.com/books/Fahrenheit-451/Ray-Bradbury/9781439142677
cover3,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover5,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover6,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover7,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover9,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover10,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover11,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover12,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover13,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover14,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover15,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover16,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover17,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover18,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover19,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover20,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover21,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover22,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover23,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover24,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover25,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover26,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover27,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover28,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover29,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover30,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover31,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover32,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover33,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover34,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover35,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover36,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover37,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover38,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover39,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover40,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover41,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover42,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover43,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover44,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover45,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover46,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover47,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover48,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover49,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover50,,,,,,,,,,,,,,,,,,,,,,,,,,,